EL_CYCLE,FROM_STMT,TO_STMT,OFFICE,CAND_NAME,CAND_ID,BORO_DIST,TERMND,CNTRS_NO,CNTNS_NO,NET_CNTNS,MATCH_AMT,I_NO,I_CNTNS_NO,I_AMT,SML_NO,SML_AMT,PUBFND_PMT,NET_EXPND,CAND_CLASS,MAX_NO,MAX_AMT,LIMIT,NAME_1
2001,1,15,5,"Park, Terence (ID:277-P)",277,20,false,238,308,62073,22700,0,0,0,170,21093,67286,131089,P,2,8347,2500,3212
2001,1,15,5,"Parker, Kevin (ID:466-P)",466,45,false,512,619,67535,37025,1,7,215,473,41890,75350,139943,P,1,2500,2500,563
2001,1,15,5,"Perez, Richard (ID:315-P)",315,37,false,212,233,31084,21029,1,22,2500,198,21324,63756,24788,P,2,5000,2500,0
2001,1,15,5,"Perkins, Bill (ID:D2-P)",D2,9,false,387,500,75920,33716,1,2,200,305,28595,121650,172652,P,1,2500,2500,0
2001,1,15,5,"Pina, Tirso (ID:582-P)",582,10,false,105,99,8625,6775,0,0,0,95,7825,0,12738,P,0,0,2500,32620
2001,1,15,5,"Poisson, Lola (ID:249-P)",249,40,false,252,278,32085,12562,195,216,18712,223,15105,0,51435,P,0,7047,2500,32401
2001,1,15,5,"Pratts, Ruben (ID:589-P) *",589,34,true,0,0,0,0,0,0,0,0,0,0,0,P,0,0,2500,0
2001,1,15,5,"Puello, Giovanni (ID:401-P)",401,10,false,375,437,26609,18352,0,0,0,315,19094,50852,79747,P,1,3970,2500,14590
2001,1,15,5,"Pugliese, Anthony (ID:391-P)",391,39,false,358,390,68663,22056,0,0,0,316,28771,75350,114714,P,8,20000,2500,0
2001,1,15,5,"Purcell, Frances (ID:478-P)",478,40,false,274,336,50921,19220,0,0,0,243,20817,67932,116307,P,2,13360,2500,0
2001,1,15,5,"Quinn, Christine (ID:204-P)",204,3,false,116,117,33160,12360,0,0,0,85,12210,0,30465,P,1,2500,2500,9600
2001,1,15,5,"Raffaele, Ellen (ID:318-P) *",318,25,true,229,284,40012,17517,0,0,0,219,17987,0,17808,P,6,20500,2500,0
2001,1,15,5,"Recchia, Domenic (ID:LW-P)",LW,47,false,364,413,60864,37010,0,0,0,330,37690,136327,178481,P,1,4024,2500,20000
2001,1,15,5,"Reed, Philip (ID:DC-P)",DC,8,false,475,617,99852,46327,0,0,0,390,40787,150700,207007,P,5,12500,2500,0
2001,1,15,5,"Reich, David (ID:371-P)",371,24,false,184,186,33903,24866,0,0,0,171,24653,75350,107169,P,0,0,2500,0
2001,1,15,5,"Reiss, David (ID:348-P)",348,33,false,203,216,27936,14261,5,39,1350,187,14376,46048,71787,P,2,5000,2500,0
2001,1,15,5,"Reyna, Diana (ID:452-P)",452,34,false,480,521,70895,40380,1,4,1000,432,37450,150302,216967,P,3,8000,2500,0
2001,1,15,5,"Rivera, Jesse (ID:540-P) *",540,37,true,0,0,0,0,0,0,0,0,0,0,0,P,0,0,2500,0
2001,1,15,5,"Rivera, Joel (ID:361-P)",361,15,false,284,318,47288,20598,0,0,0,248,21453,70444,112666,P,3,7500,2500,3979
2001,1,15,5,"Roberts, Edward (ID:Q2-P)",Q2,40,false,188,230,21249,20349,0,0,0,170,18799,37780,80914,P,0,0,2500,49125
2001,1,15,5,"Rodriguez, Angel (ID:CQ-P)",CQ,38,false,201,208,42760,21520,0,0,0,182,22770,75350,116615,P,3,7500,2500,3961
2001,1,15,5,"Rodriguez, Elizabeth (ID:464-P)",464,18,false,164,198,10495,7325,8,60,1895,157,8020,31685,35112,P,0,0,2500,0
2001,1,15,5,"Rodriguez, Ydanis (ID:353-P)",353,10,false,546,751,71993,37153,1,7,700,466,27538,116586,190018,P,3,7500,2500,968
